,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
lat,-0.65651178802405,0.30812042977627535,-2.1306986638332934,0.03311397523981352,-1.2604167332865526,-0.05260684276154737
lon,-0.052607196799791776,0.17104594139612841,-0.30756179521359006,0.7584157948501582,-0.3878510816379522,0.28263668803836867
playoffs,0.04171398151221454,0.04624965759485465,0.9019306019003973,0.3670937340192555,-0.048933681671009956,0.13236164469543904
seconds_remaining,0.0013937279899857503,0.0008919450945601344,1.5625715063471164,0.11815341463895387,-0.00035445227153928596,0.0031419082515107867
shot_distance,-0.018854539174606486,0.004435814044107577,-4.250525154374399,2.132698813992825e-05,-0.027548574943174302,-0.01016050340603867
attendance,0.00017334751153532914,1.673470177465955e-05,10.358565923046198,3.8265601833170054e-25,0.0001405480987649779,0.00020614692430568038
arena_temp,0.032774092671179,0.0076205003780478245,4.300779613578981,1.7019826423146415e-05,0.017838186386031397,0.047709998956326605
avgnoisedb,0.002473043997283244,0.007790127844828214,0.31745871782130924,0.7508955590368034,-0.012795326013542687,0.017741414008109174
seconds_left_in_period,6.14590357681597e-05,7.829410946575977e-05,0.7849764967955536,0.4324673489241935,-9.1994598986366e-05,0.00021491267052268538
last_seconds_of_period,-0.8629156507907316,0.12815208916406157,-6.733527767042631,1.6559804079623626e-11,-1.114089130095858,-0.6117421714856053
seconds_left_in_game,6.976289513345801e-05,3.165200365930201e-05,2.2040593664899264,0.027520169292320994,7.726107922696076e-06,0.00013179968234421996
home_or_away,-0.025850531053289827,0.030538097268293124,-0.8465010385610937,0.3972732947316049,-0.08570410185552535,0.0340030397489457
num_shots_cumulative,0.0005264448141306163,0.004188986678495142,0.12567354697812913,0.8999903422709565,-0.007683818207437928,0.00873670783569916
angle_from_basket,0.00015026147715909972,0.000387936772607135,0.38733496736920603,0.6985082417555684,-0.0006100806254295895,0.0009106035797477889
season_count,0.00926531047614947,0.0033609829884920224,2.756726382690366,0.0058383183086937376,0.0026779048660533064,0.01585271608624563
combined_shot_type_bank_shot,3.4053354716507567,1024153.600109079,3.325024167554619e-06,0.9999973470145525,-2007300.76551536,2007307.5761863035
combined_shot_type_dunk,4.608993372437442,1025069.4243236177,4.496274362566849e-06,0.999996412492105,-2009094.5443341248,2009103.7623208696
combined_shot_type_hook_shot,2.045229477479871,1025919.1004887836,1.993558241098594e-06,0.9999984093706583,-2010762.4427802667,2010766.533239222
combined_shot_type_jump_shot,1.969082703317029,1026245.711694462,1.9187244154870313e-06,0.9999984690794125,-2011402.665127118,2011406.6032925246
combined_shot_type_layup,2.418987962652148,1023564.4232649076,2.363298203484054e-06,0.9999981143608508,-2006146.986467768,2006151.8244436933
combined_shot_type_tip_shot,1.5476670509138808,1028659.4115412154,1.50454760200468e-06,0.9999987995446974,-2016133.8513118967,2016136.9466459986
shot_type_2pt_field_goal,8.138314925233889,,,,,
shot_type_3pt_field_goal,7.952474826588536,,,,,
opponent_atl,0.5269255630251237,389123.5565867472,1.3541343208494661e-06,0.9999989195571322,-762667.6295205952,762668.6833717212
opponent_bkn,0.01869962971185838,389123.55658751156,4.8055763767807114e-08,0.9999999616570481,-762668.1377480266,762668.175147286
opponent_bos,0.4137212536510569,389123.55658685823,1.0632130762782747e-06,0.9999991516787016,-762667.7427251223,762668.5701676295
opponent_cha,0.6084220819682526,389123.55658683507,1.5635704178512767e-06,0.9999987524513039,-762667.5480242486,762668.7648684124
opponent_chi,0.4481695342848319,389123.5565870712,1.151740948853474e-06,0.9999990810436789,-762667.708277259,762668.6046163277
opponent_cle,0.46774170455596614,389123.55658706086,1.2020390352577268e-06,0.9999990409116123,-762667.6887050684,762668.6241884775
opponent_dal,0.5030708768994211,389123.5565868825,1.292830691906715e-06,0.9999989684703512,-762667.6533755464,762668.6595173003
opponent_den,0.586166417233907,389123.5565868898,1.5063760785271767e-06,0.9999987980857842,-762667.5702800205,762668.7426128549
opponent_det,0.46004434641136216,389123.556587159,1.1822577652358545e-06,0.9999990566947823,-762667.6964026189,762668.6164913117
opponent_gsw,0.5222353397338068,389123.5565869278,1.3420810200092386e-06,0.9999989291742748,-762667.6342111725,762668.678681852
opponent_hou,0.45776035115290314,389123.55658686406,1.1763881764652747e-06,0.9999990613780365,-762667.6986860362,762668.6142067384
opponent_ind,0.3627196251759289,389123.5565868032,9.321451221239948e-07,0.9999992562557987,-762667.793726643,762668.5191658932
opponent_lac,0.4709475407157148,389123.55658686376,1.2102776425219725e-06,0.9999990343381547,-762667.685498846,762668.6273939274
opponent_mem,0.49403209574554485,389123.5565869031,1.2696021286370323e-06,0.9999989870040632,-762667.662414368,762668.6504785595
opponent_mia,0.624318773218444,389123.55658720026,1.6044229722148365e-06,0.9999987198556815,-762667.5321282729,762668.7807658195
opponent_mil,0.4654736998623542,389123.55658705137,1.1962105402843233e-06,0.9999990455620784,-762667.6909730545,762668.6219204542
opponent_min,0.4444651824362283,389123.55658690823,1.142221217175167e-06,0.9999990886393257,-762667.7119812914,762668.6009116564
opponent_njn,0.3839144161064851,389123.55658687797,9.86613145382192e-07,0.9999992127966039,-762667.7725319985,762668.5403608306
opponent_noh,0.5235768324511918,389123.55658704427,1.345528492398201e-06,0.9999989264235898,-762667.632869908,762668.680023573
opponent_nop,0.3617098430098204,389123.55658713065,9.295501053245233e-07,0.9999992583263224,-762667.7947370667,762668.5181567528
opponent_nyk,0.6296662040101584,389123.5565871402,1.6181652160376242e-06,0.9999987088909573,-762667.5267807245,762668.7861131325
opponent_okc,0.2641569815164287,389123.55658700725,6.788511696216564e-07,0.9999994583551327,-762667.8922896865,762668.4206036495
opponent_orl,0.42964271872975424,389123.5565868823,1.1041292963558349e-06,0.9999991190322813,-762667.7268037043,762668.5860891418
opponent_phi,0.5106784003965081,389123.55658692383,1.312381097859417e-06,0.9999989528713842,-762667.645768104,762668.6671249048
